                    Summary Statistic for Health Care & Customer Discretionary,,,,,,,,,,,,,,,,,,,
Ticker Symbol,Year,Period Ending,Period ending year,Total Revenue,Cost of Goods Sold," Sales, General and Admin. ",Research and Development,Other Operating Items,GICS Sector,GICS Sub Industry,Gross Margin ,Gross profit,Operating profit ,Operating Margin ,Summary Statistics for both Sectors,,,Shape,
IPG,Year 1,12/31/2012,2012,"$6,956,200,000",$0,"$6,279,100,000",$0,$0,Consumer Discretionary,Advertising,1,"$6,956,200,000","$677,100,000",0.09733762687,Mean,"$20,285,072,398 ",,Symmetric(Normal),Mean=Median
IPG,Year 2,12/31/2013,2013,"$7,122,300,000",$0,"$6,463,400,000",$0,$0,Consumer Discretionary,Advertising,1,"$7,122,300,000","$658,900,000",0.09251225026,Median,"$8,446,000,000 ",,Right-Skewed,Mean>Median
IPG,Year 3,12/31/2014,2014,"$7,537,100,000",$0,"$6,748,500,000",$0,$0,Consumer Discretionary,Advertising,1,"$7,537,100,000","$788,600,000",0.1046291014,Mode,"$1,834,921,000 ",,Left-Skewed,Mean<Median
IPG,Year 4,12/31/2015,2015,"$7,613,800,000",$0,"$6,742,700,000",$0,$0,Consumer Discretionary,Advertising,1,"$7,613,800,000","$871,100,000",0.1144106754,Maximum,"$190,884,000,000 ",,,
OMC,Year 1,12/31/2014,2014,"$15,317,800,000","$12,602,100,000","$477,200,000",$0,"$294,400,000",Consumer Discretionary,Advertising,0.1772904725,"$2,715,700,000","$1,944,100,000",0.1269177036,Minimum,"$580,415,000 ",,,
OMC,Year 2,12/31/2015,2015,"$15,134,400,000","$12,491,400,000","$431,800,000",$0,"$291,100,000",Consumer Discretionary,Advertising,0.174635268,"$2,643,000,000","$1,920,100,000",0.1268699123,Range,"$190,303,585,000 ",,,
OMC,Year 3,12/31/2016,2016,"$15,416,900,000","$12,671,200,000","$443,900,000",$0,"$292,900,000",Consumer Discretionary,Advertising,0.1780967639,"$2,745,700,000","$2,008,900,000",0.1303050548,Standard Deviation,32307370777.04,,,
FL,Year 1,2/2/2013,2013,"$6,182,000,000","$4,148,000,000","$1,294,000,000",$0,"$118,000,000",Consumer Discretionary,Apparel Retail,0.3290197347,"$2,034,000,000","$622,000,000",0.1006146878,Quartile I,"$4,627,802,000.00",,,
FL,Year 2,2/1/2014,2014,"$6,505,000,000","$4,372,000,000","$1,334,000,000",$0,"$133,000,000",Consumer Discretionary,Apparel Retail,0.3279016141,"$2,133,000,000","$666,000,000",0.1023827825,Quartile III,"$18,790,000,000.00",,,
FL,Year 3,1/31/2015,2015,"$7,151,000,000","$4,777,000,000","$1,426,000,000",$0,"$139,000,000",Consumer Discretionary,Apparel Retail,0.331981541,"$2,374,000,000","$809,000,000",0.1131310306,,,,,
FL,Year 4,1/30/2016,2016,"$7,412,000,000","$4,907,000,000","$1,415,000,000",$0,"$148,000,000",Consumer Discretionary,Apparel Retail,0.3379654614,"$2,505,000,000","$942,000,000",0.1270912035,Summary Statistics for Consumer Discretionary,,,,
GPS,Year 1,2/2/2013,2013,"$15,651,000,000","$9,480,000,000",$0,$0,$0,Consumer Discretionary,Apparel Retail,0.3942879049,"$6,171,000,000","$6,171,000,000",0.3942879049,Mean(Average),"$18,318,138,785 ",,,
GPS,Year 2,2/1/2014,2014,"$16,148,000,000","$9,855,000,000",$0,$0,$0,Consumer Discretionary,Apparel Retail,0.3897077037,"$6,293,000,000","$6,293,000,000",0.3897077037,Median,"$8,441,971,000 ",,,
GPS,Year 3,1/31/2015,2015,"$16,435,000,000","$10,146,000,000",$0,$0,$0,Consumer Discretionary,Apparel Retail,0.3826589595,"$6,289,000,000","$6,289,000,000",0.3826589595,Mode,"$1,834,921,000 ",,,
GPS,Year 4,1/30/2016,2016,"$15,797,000,000","$10,077,000,000",$0,$0,$0,Consumer Discretionary,Apparel Retail,0.3620940685,"$5,720,000,000","$5,720,000,000",0.3620940685,Maximum,"$166,380,000,000 ",,,
LB,Year 1,2/2/2013,2013,"$10,459,000,000","$6,073,000,000","$2,720,000,000",$0,$0,Consumer Discretionary,Apparel Retail,0.4193517545,"$4,386,000,000","$1,666,000,000",0.1592886509,Minimum,"$763,000,000 ",,,
LB,Year 2,2/1/2014,2014,"$10,773,000,000","$6,344,000,000","$2,686,000,000",$0,$0,Consumer Discretionary,Apparel Retail,0.4111203936,"$4,429,000,000","$1,743,000,000",0.1617933723,Range,"$165,617,000,000 ",,,
LB,Year 3,1/31/2015,2015,"$11,454,000,000","$6,646,000,000","$2,855,000,000",$0,$0,Consumer Discretionary,Apparel Retail,0.4197660206,"$4,808,000,000","$1,953,000,000",0.1705081194,Standard Deviation,"$28,343,213,504.80",,,
LB,Year 4,1/30/2016,2016,"$12,154,000,000","$6,950,000,000","$3,012,000,000",$0,$0,Consumer Discretionary,Apparel Retail,0.4281717953,"$5,204,000,000","$2,192,000,000",0.1803521474,Quartile I,"$5,650,265,500.00",,,
ROST,Year 1,2/2/2013,2013,"$9,721,065,000","$7,011,428,000","$1,437,886,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2787386979,"$2,709,637,000","$1,271,751,000",0.1308242461,Quartile III,"$16,268,500,000.00",,,
ROST,Year 2,2/1/2014,2014,"$10,230,353,000","$7,360,924,000","$1,526,366,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2804819149,"$2,869,429,000","$1,343,063,000",0.1312821757,,,,,
ROST,Year 3,1/31/2015,2015,"$11,041,677,000","$7,937,956,000","$1,615,371,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2810914501,"$3,103,721,000","$1,488,350,000",0.1347938361,Summary Statistics for Health Care,,,,
ROST,Year 4,1/30/2016,2016,"$11,939,999,000","$8,576,873,000","$1,738,755,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2816688678,"$3,363,126,000","$1,624,371,000",0.1360444838,Mean(Average),"$23,463,223,026 ",,,
TJX,Year 1,2/2/2013,2013,"$25,878,372,000","$18,521,400,000","$4,250,446,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2842903719,"$7,356,972,000","$3,106,526,000",0.1200433319,Median,"$8,563,050,000 ",,,
TJX,Year 2,2/1/2014,2014,"$27,422,696,000","$19,605,037,000","$4,467,089,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2850798842,"$7,817,659,000","$3,350,570,000",0.1221823704,Mode,"$16,560,000,000 ",,,
TJX,Year 3,1/31/2015,2015,"$29,078,407,000","$20,776,522,000","$4,695,384,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2854999932,"$8,301,885,000","$3,606,501,000",0.1240267735,Maximum,"$190,884,000,000 ",,,
TJX,Year 4,1/30/2016,2016,"$30,944,938,000","$22,034,523,000","$5,205,715,000",$0,$0,Consumer Discretionary,Apparel Retail,0.2879441865,"$8,910,415,000","$3,704,700,000",0.1197190959,Minimum,"$580,415,000 ",,,
URBN,Year 1,1/31/2013,2013,"$2,794,925,000","$1,763,394,000","$657,246,000",$0,$0,Consumer Discretionary,Apparel Retail,0.3690728732,"$1,031,531,000","$374,285,000",0.1339159369,Range,"$190,303,585,000 ",,,
URBN,Year 2,1/31/2014,2014,"$3,086,608,000","$1,925,266,000","$734,511,000",$0,$0,Consumer Discretionary,Apparel Retail,0.3762518596,"$1,161,342,000","$426,831,000",0.1382848097,Standard Deviation,"$37,710,947,028.73",,,
URBN,Year 3,1/31/2015,2015,"$3,323,077,000","$2,148,147,000","$809,545,000",$0,$0,Consumer Discretionary,Apparel Retail,0.35356689,"$1,174,930,000","$365,385,000",0.1099538169,Quartile I,"$2,924,057,250.00",,,
URBN,Year 4,1/31/2016,2016,"$3,445,134,000","$2,243,232,000","$848,323,000",$0,$0,Consumer Discretionary,Apparel Retail,0.3488694489,"$1,201,902,000","$353,579,000",0.1026314216,Quartile III,"$21,347,750,000.00",,,
HBI,Year 1,12/28/2013,2013,"$4,627,802,000","$3,016,109,000","$1,096,507,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.3482631712,"$1,611,693,000","$515,186,000",0.1113241232,,,,,
HBI,Year 2,1/3/2015,2015,"$5,324,746,000","$3,420,339,000","$1,340,453,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.3576521772,"$1,904,407,000","$563,954,000",0.1059119064,,,,,
HBI,Year 3,1/2/2016,2016,"$5,731,549,000","$3,595,217,000","$1,541,214,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.3727320485,"$2,136,332,000","$595,118,000",0.1038319658,,,,,
HBI,Year 4,12/31/2016,2016,"$6,028,199,000","$3,752,151,000","$1,500,399,000",$0,$0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.3775668322,"$2,276,048,000","$775,649,000",0.1286701053,,,,,
KORS,Year 1,3/30/2013,2013,"$2,181,732,000","$875,166,000","$621,536,000",$0,"$54,291,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.5988664052,"$1,306,566,000","$630,739,000",0.2891001278,,,,,
KORS,Year 2,3/29/2014,2014,"$3,310,800,000","$1,294,700,000","$926,900,000",$0,"$79,700,000",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0.6089464782,"$2,016,100,000","$1,009,500,000",0.3049111997,,,,,
