	Ticker Symbol	Years	Period Ending	Period Ending Year	Total Revenue	Cost of Goods Sold	 Sales, General and Admin. 	Research and Development	Other Operating Items	GICS Sector	GICS Sub Industry	Gross Margin 1-(COGS/Total revenue)	Operating Margin [Operating profit or Income/Total revenue]	Operating profit [Gross profit - Total operatign expenses]	Gross profit [Total revenue - COGS]
0	AAL	Year 1	12/31/2012	2012	$24,855,000,000	$10,499,000,000	$12,977,000,000	$0	$845,000,000	Industrials	Airlines	0.58	0.02	$534,000,000	$14,356,000,000
1	AAL	Year 2	12/31/2013	2013	$26,743,000,000	$11,019,000,000	$12,913,000,000	$0	$853,000,000	Industrials	Airlines	0.59	0.07	$1,958,000,000	$15,724,000,000
2	AAL	Year 3	12/31/2014	2014	$42,650,000,000	$15,620,000,000	$20,686,000,000	$0	$1,295,000,000	Industrials	Airlines	0.63	0.12	$5,049,000,000	$27,030,000,000
3	AAL	Year 4	12/31/2015	2015	$40,990,000,000	$11,096,000,000	$21,275,000,000	$0	$1,364,000,000	Industrials	Airlines	0.73	0.18	$7,255,000,000	$29,894,000,000
4	AAP	Year 1	12/29/2012	2012	$6,205,003,000	$3,106,967,000	$2,440,721,000	$0	$0	Consumer Discretionary	Automotive Retail	0.50	0.11	$657,315,000	$3,098,036,000
5	AAP	Year 2	12/28/2013	2013	$6,493,814,000	$3,241,668,000	$2,591,828,000	$0	$0	Consumer Discretionary	Automotive Retail	0.50	0.10	$660,318,000	$3,252,146,000
6	AAP	Year 3	1/3/2015	2015	$9,843,861,000	$5,390,248,000	$3,601,903,000	$0	$0	Consumer Discretionary	Automotive Retail	0.45	0.09	$851,710,000	$4,453,613,000
7	AAP	Year 4	1/2/2016	2016	$9,737,018,000	$5,314,246,000	$3,596,992,000	$0	$0	Consumer Discretionary	Automotive Retail	0.45	0.08	$825,780,000	$4,422,772,000
8	AAPL	Year 1	9/28/2013	2013	$170,910,000,000	$106,606,000,000	$10,830,000,000	$4,475,000,000	$0	Information Technology	Computer Hardware	0.38	0.29	$48,999,000,000	$64,304,000,000
9	AAPL	Year 2	9/27/2014	2014	$182,795,000,000	$112,258,000,000	$11,993,000,000	$6,041,000,000	$0	Information Technology	Computer Hardware	0.39	0.29	$52,503,000,000	$70,537,000,000
10	AAPL	Year 3	9/26/2015	2015	$233,715,000,000	$140,089,000,000	$14,329,000,000	$8,067,000,000	$0	Information Technology	Computer Hardware	0.40	0.30	$71,230,000,000	$93,626,000,000
11	AAPL	Year 4	9/24/2016	2016	$215,639,000,000	$131,376,000,000	$14,194,000,000	$10,045,000,000	$0	Information Technology	Computer Hardware	0.39	0.28	$60,024,000,000	$84,263,000,000
12	ABBV	Year 1	12/31/2012	2012	$18,380,000,000	$4,508,000,000	$4,989,000,000	$2,778,000,000	$0	Health Care	Pharmaceuticals	0.75	0.33	$6,105,000,000	$13,872,000,000
13	ABBV	Year 2	12/31/2013	2013	$18,790,000,000	$4,581,000,000	$5,352,000,000	$2,855,000,000	$0	Health Care	Pharmaceuticals	0.76	0.32	$6,002,000,000	$14,209,000,000
14	ABBV	Year 3	12/31/2014	2014	$19,960,000,000	$4,426,000,000	$8,474,000,000	$3,297,000,000	$0	Health Care	Pharmaceuticals	0.78	0.19	$3,763,000,000	$15,534,000,000
15	ABBV	Year 4	12/31/2015	2015	$22,859,000,000	$4,500,000,000	$6,387,000,000	$4,285,000,000	$0	Health Care	Pharmaceuticals	0.80	0.34	$7,687,000,000	$18,359,000,000
16	ABC	Year 1	9/30/2013	2013	$87,959,167,000	$85,451,348,000	$1,447,234,000	$0	$162,186,000	Health Care	Health Care Distributors	0.03	0.01	$898,399,000	$2,507,819,000
17	ABC	Year 2	9/30/2014	2014	$119,569,127,000	$116,586,761,000	$2,011,595,000	$0	$188,680,000	Health Care	Health Care Distributors	0.02	0.01	$782,091,000	$2,982,366,000
18	ABC	Year 3	9/30/2015	2015	$135,961,803,000	$132,432,490,000	$2,858,458,000	$0	$248,635,000	Health Care	Health Care Distributors	0.03	0.00	$422,220,000	$3,529,313,000
19	ABC	Year 4	9/30/2016	2016	$146,849,686,000	$142,577,080,000	$2,382,097,000	$0	$364,735,000	Health Care	Health Care Distributors	0.03	0.01	$1,525,774,000	$4,272,606,000
20	ABT	Year 1	12/31/2012	2012	$19,050,000,000	$8,899,000,000	$6,735,000,000	$1,461,000,000	$595,000,000	Health Care	Health Care Equipment	0.53	0.07	$1,360,000,000	$10,151,000,000
21	ABT	Year 2	12/31/2013	2013	$19,657,000,000	$9,193,000,000	$6,372,000,000	$1,371,000,000	$588,000,000	Health Care	Health Care Equipment	0.53	0.11	$2,133,000,000	$10,464,000,000
22	ABT	Year 3	12/31/2014	2014	$20,247,000,000	$9,218,000,000	$6,530,000,000	$1,345,000,000	$555,000,000	Health Care	Health Care Equipment	0.54	0.13	$2,599,000,000	$11,029,000,000
23	ABT	Year 4	12/31/2015	2015	$20,405,000,000	$8,747,000,000	$6,785,000,000	$1,405,000,000	$601,000,000	Health Care	Health Care Equipment	0.57	0.14	$2,867,000,000	$11,658,000,000
24	ADBE	Year 1	11/29/2013	2013	$4,055,240,000	$586,557,000	$2,140,578,000	$826,631,000	$52,254,000	Information Technology	Application Software	0.86	0.11	$449,220,000	$3,468,683,000
25	ADBE	Year 2	11/28/2014	2014	$4,147,065,000	$622,080,000	$2,195,640,000	$844,353,000	$52,424,000	Information Technology	Application Software	0.85	0.10	$432,568,000	$3,524,985,000
26	ADBE	Year 3	11/27/2015	2015	$4,795,511,000	$744,317,000	$2,215,161,000	$862,730,000	$68,649,000	Information Technology	Application Software	0.84	0.19	$904,654,000	$4,051,194,000
27	ADBE	Year 4	12/2/2016	2016	$5,854,430,000	$819,908,000	$2,487,907,000	$975,987,000	$78,534,000	Information Technology	Application Software	0.86	0.25	$1,492,094,000	$5,034,522,000
28	ADI	Year 1	11/2/2013	2013	$2,633,689,000	$941,278,000	$396,233,000	$513,035,000	$220,000	Information Technology	Semiconductors	0.64	0.30	$782,923,000	$1,692,411,000
29	ADI	Year 2	11/1/2014	2014	$2,864,773,000	$1,034,585,000	$454,676,000	$559,686,000	$26,020,000	Information Technology	Semiconductors	0.64	0.28	$789,806,000	$1,830,188,000
30	ADI	Year 3	10/31/2015	2015	$3,435,092,000	$1,175,830,000	$702,644,000	$637,459,000	$88,318,000	Information Technology	Semiconductors	0.66	0.24	$830,841,000	$2,259,262,000
31	ADI	Year 4	10/29/2016	2016	$3,421,409,000	$1,194,236,000	$461,438,000	$653,816,000	$70,123,000	Information Technology	Semiconductors	0.65	0.30	$1,041,796,000	$2,227,173,000
32	ADM	Year 1	12/31/2012	2012	$90,559,000,000	$86,936,000,000	$1,665,000,000	$0	$0	Consumer Staples	Agricultural Products	0.04	0.02	$1,958,000,000	$3,623,000,000
33	ADM	Year 2	12/31/2013	2013	$89,804,000,000	$85,915,000,000	$1,759,000,000	$0	$0	Consumer Staples	Agricultural Products	0.04	0.02	$2,130,000,000	$3,889,000,000
34	ADM	Year 3	12/31/2014	2014	$81,201,000,000	$76,433,000,000	$1,907,000,000	$0	$0	Consumer Staples	Agricultural Products	0.06	0.04	$2,861,000,000	$4,768,000,000
35	ADM	Year 4	12/31/2015	2015	$67,702,000,000	$63,682,000,000	$2,010,000,000	$0	$0	Consumer Staples	Agricultural Products	0.06	0.03	$2,010,000,000	$4,020,000,000
36	ADS	Year 1	12/31/2012	2012	$3,641,390,000	$2,392,091,000	$108,059,000	$0	$166,876,000	Information Technology	Data Processing & Outsourced Services	0.34	0.27	$974,364,000	$1,249,299,000
37	ADS	Year 2	12/31/2013	2013	$4,319,063,000	$2,894,917,000	$109,115,000	$0	$216,119,000	Information Technology	Data Processing & Outsourced Services	0.33	0.25	$1,098,912,000	$1,424,146,000
38	ADS	Year 3	12/31/2014	2014	$5,302,940,000	$3,643,979,000	$247,412,000	$0	$313,082,000	Information Technology	Data Processing & Outsourced Services	0.31	0.21	$1,098,467,000	$1,658,961,000
39	ADS	Year 4	12/31/2015	2015	$6,439,746,000	$4,482,700,000	$203,046,000	$0	$492,140,000	Information Technology	Data Processing & Outsourced Services	0.30	0.20	$1,261,860,000	$1,957,046,000
40	ADSK	Year 1	1/31/2013	2013	$2,312,200,000	$238,500,000	$1,081,800,000	$600,000,000	$42,100,000	Information Technology	Application Software	0.90	0.15	$349,800,000	$2,073,700,000
41	ADSK	Year 2	1/31/2014	2014	$2,273,900,000	$274,300,000	$1,054,400,000	$611,100,000	$36,500,000	Information Technology	Application Software	0.88	0.13	$297,600,000	$1,999,600,000
42	ADSK	Year 3	1/31/2015	2015	$2,512,200,000	$342,100,000	$1,281,300,000	$725,200,000	$39,800,000	Information Technology	Application Software	0.86	0.05	$123,800,000	$2,170,100,000
43	ADSK	Year 4	1/31/2016	2016	$2,504,100,000	$370,700,000	$1,308,900,000	$790,000,000	$33,200,000	Information Technology	Application Software	0.85	0.00	$1,300,000	$2,133,400,000
44	AEE	Year 1	12/31/2012	2012	$5,781,000,000	$3,477,000,000	$443,000,000	$0	$673,000,000	Utilities	MultiUtilities	0.40	0.21	$1,188,000,000	$2,304,000,000
45	AEE	Year 2	12/31/2013	2013	$5,838,000,000	$3,490,000,000	$458,000,000	$0	$706,000,000	Utilities	MultiUtilities	0.40	0.20	$1,184,000,000	$2,348,000,000
46	AEE	Year 3	12/31/2014	2014	$6,053,000,000	$3,586,000,000	$468,000,000	$0	$745,000,000	Utilities	MultiUtilities	0.41	0.21	$1,254,000,000	$2,467,000,000
47	AEE	Year 4	12/31/2015	2015	$6,098,000,000	$3,501,000,000	$542,000,000	$0	$796,000,000	Utilities	MultiUtilities	0.43	0.21	$1,259,000,000	$2,597,000,000
48	AEP	Year 1	12/31/2012	2012	$14,945,000,000	$6,395,000,000	$3,812,000,000	$0	$1,782,000,000	Utilities	Electric Utilities	0.57	0.20	$2,956,000,000	$8,550,000,000
